Scientific Name,Common Name,# of States 2005,States 2005,# of States 2015,States 2015,Taxonomic Group
Enaphalodes archboldi,Archbold Scrub Long-horned Beetle,0,,1,Florida,Other Invertebrates
Encelia scaposa,onehead brittlebush,0,,1,Texas,Plants
Enceliopsis nudicaulis,nakedstem sunray,0,,1,California,Plants
Enchelycore pardalis,dragon moray eel,1,Hawaii,1,Hawaii,Fish
Enchelyurus brunneolus,No Common Name,1,Hawaii,1,Hawaii,Fish
Encoptolophus subgracilis,A Grasshopper,0,,1,Nebraska,Other Invertebrates
Encrasicholina purpurea,nehu,1,Hawaii,1,Hawaii,Fish
Endopachys oahensis,No Common Name,1,Hawaii,1,Hawaii,Other
Engraulis mordax,northern anchovy,0,,1,Oregon,Fish
Engyprosopon hawaiiensis,No Common Name,1,Hawaii,1,Hawaii,Fish
Engyprosopon xenandrus,No Common Name,1,Hawaii,1,Hawaii,Fish
Enhalus acoroides,sea grass,1,Guam,1,Guam,Plants
Enhydra lutris nereis,southern sea otter,1,California,1,California,Mammals
Enneapterygius atriceps,Hawaiian Triplefin,1,Hawaii,1,Hawaii,Fish
Enoplometopidae,,0,,1,Florida,Other Invertebrates
Enoplometopus antillensis,flaming reef lobster,0,,1,Florida,Other Invertebrates
Entodon brevisetus,A Moss,2,"Missouri,Vermont",1,Vermont,Plants
Entodon concinnus,Lime Entodon,0,,1,Tennessee,Plants
Entomacrodus marmoratus,"Marbled Blenny, PÄoâo",1,Hawaii,1,Hawaii,Fish
Entomacrodus strasburgi,Strasburgâs Blenny,1,Hawaii,1,Hawaii,Fish
Entomobryidae,,0,,1,Florida,Other Invertebrates
Entosphenus,Goose Lake lamprey,0,,1,California,Fish
Entosphenus lethophagus,Pit-Klamath brook lamprey,1,Oregon,1,California,Fish
Entosphenus minimus,Miller Lake lamprey,1,Oregon,1,Oregon,Fish
Entosphenus similis,Klamath lamprey,1,California,1,California,Fish
Eocosmoecus schmidi,A Caddisfly,0,,1,Idaho,Other Invertebrates
Eocyzicus concavus,desert clam shrimp,1,New Mexico,1,New Mexico,Other Invertebrates
Eopsetta jordani,petrale sole,0,,1,California,Fish
Eotettix palustris,Longleaf spur-throated grasshopper,0,,1,Georgia,Other Invertebrates
Epargyreus zestos,Zestos Skipper,1,Florida,1,Florida,Other Invertebrates
Epeolus ainsliei,A Cuckoo Bee,0,,1,Wisconsin,Other Invertebrates
Epeolus lectoides,A Cuckoo Bee,0,,1,New Jersey,Other Invertebrates
Epeolus rugosus,Punctate Central Florida Cuckoo Bee,0,,1,Florida,Other Invertebrates
Epeorus,Mayflies (Little Maryatts),0,,1,Rhode Island,Other Invertebrates
Epeorus punctatus,A mayfly,1,New York,1,New York,Other Invertebrates
Ephedra coryi,Navajo Mormon tea,0,,1,Texas,Plants
Ephedra torreyana var. powelliorum,Torrey's jointfir,0,,1,Texas,Plants
Ephemerella alleni,A Mayfly,0,,1,Idaho,Other Invertebrates
Ephemerella apopsis,Spiny Crawler Mayfly,0,,1,Colorado,Other Invertebrates
Ephemerella aurivillii,--,0,,1,Pennsylvania,Other Invertebrates
Ephemerellidae,,0,,1,Florida,Other Invertebrates
Ephemeridae,,0,,1,Florida,Other Invertebrates
Ephemeroptera,mayflies,1,Alaska,1,Alaska,Other Invertebrates
Ephemerum cohaerens,An Emerald Dewdrops Moss,1,Vermont,1,Vermont,Plants
Ephemerum spinulosum,An Emerald Dewdrops Moss,1,Vermont,1,Vermont,Plants
Ephoron leukon,A Mayfly,0,,1,Florida,Other Invertebrates
Ephydatia,A Freshwater Sponge,0,,1,District of Columbia,Other Invertebrates
Ephyriades brunnea floridensis,Florida Duskywing,1,Florida,1,Florida,Other Invertebrates
Epifagus virginiana,beechdrops,1,Missouri,1,Missouri,Plants
Epiglaea apiata,Pointed Sallow,2,"Ohio,Pennsylvania",1,Pennsylvania,Other Invertebrates
Epigonus devaneyi,No Common Name,1,Hawaii,1,Hawaii,Fish
Epigonus glossodontus,No Common Name,1,Hawaii,1,Hawaii,Fish
Epilobium ciliatum,fringed willowherb,0,,1,Tennessee,Plants
Epilobium palustre,marsh willowherb,0,,1,Vermont,Plants
Epinephelus,,,,,,
adscensionis,Rock Hind,0,,1,Virgin Islands,Other
Epinephelus guttatus,red hind,1,Florida,1,Virgin Islands,Fish
Epinephelus lanceolatus,Giant grouper,1,Hawaii,1,Hawaii,Fish
Epinephelus nigritus,warsaw grouper,1,Florida,1,Florida,Fish
Epinephelus niveatus,snowy grouper,1,Florida,1,Florida,Fish
Epinephelus quernus,"Hawaiian grouper, HÄpuâu",1,Hawaii,1,Hawaii,Fish
Epioblasma ahlstedti,Duck River Dartersnapper,0,,1,Alabama,Mollusks
Epioblasma metastriata,upland combshell,1,Alabama,1,Tennessee,Mollusks
Epioblasma othcaloogensis,southern acornshell,2,"Alabama,Tennessee",1,Tennessee,Mollusks
Epioblasma turgidula,turgid blossom,2,"Arkansas,Missouri",1,Arkansas,Mollusks
Epitheca spinigera,Spiny Baskettail,1,Pennsylvania,1,Pennsylvania,Other Invertebrates
Epithelantha bokei,Boke's button cactus,0,,1,Texas,Plants
Epitonium ulu,Fungiid Wentletrap,1,Hawaii,1,Hawaii,Other
Epitrix,A leaf beetle,1,Texas,1,Texas,Other Invertebrates
Equisetum palustre,marsh horsetail,1,Vermont,1,Vermont,Plants
Equisetum scirpoides,dwarf scouringrush,0,,1,Massachusetts,Plants
Equisetum sylvaticum,woodland horsetail,0,,1,West Virginia,Plants
Eragrostis capillaris,Lace Grass,1,Nebraska,1,Nebraska,Plants
Eragrostis fosbergii,Fosberg's love grass,1,Hawaii,1,Hawaii,Plants
Eragrostis hirsuta,Big-top Lovegrass,0,,1,West Virginia,Plants
Eragrostis monticola,No Common Name,1,Hawaii,1,Hawaii,Plants
Eragrostis pilosa var. perplexa,Playa Lovegrass,0,,1,Nebraska,Plants
Eragrostis reptans,Creeping Lovegrass,1,Missouri,1,Nebraska,Plants
Eragrostis secundiflora,Red Lovegrass,0,,1,Nebraska,Plants
Eragrostis variabilis,KÄwelu,1,Hawaii,1,Hawaii,Plants
Erebia discoidalis,Red-disked Alpine,2,"Michigan,Wisconsin",1,Michigan,Other Invertebrates
Erebia mancinus,Taiga Alpine,0,,1,Minnesota,Other Invertebrates
Erebomaster,harvestmen,0,,1,Tennessee,Other Invertebrates
Ereboporus naturaconservatus,Nature Conservancy diving beetle,0,,1,Texas,Other Invertebrates
Eremalche parryi ssp. kernensis,Kern mallow,0,,1,California,Plants
Eremarionta immaculata,white desertsnail,1,California,1,California,Mollusks
Eremarionta millepalmarum,Thousand Palms desertsnail,1,California,1,California,Mollusks
Eremarionta morongoana,Morongo desertsnail,1,California,1,California,Mollusks
Eremarionta rowelli,eastern desertsnail,0,,1,Arizona,Mollusks
Eremarionta rowelli bakerensis,Bakerâs desertsnail,1,California,1,California,Other
Eremarionta rowelli mccoiana,California Mccoy snail,1,California,1,California,Other
Eremichthys acros,desert dace,1,Nevada,1,Nevada,Fish
Eremidrilus allegheniensis,aquatic oligochaete worm,1,Tennessee,1,Tennessee,Other Invertebrates
Eremogone ursina,Bear Valley sandwort,0,,1,California,Plants
Eremophila alpestris arcticola,Horned Lark,0,,1,Alaska,Birds
Eremopyrgus eganensis,Steptoe hydrobe,1,Nevada,1,Nevada,Other
Eriastrum brandegeeae,Brandegee's woollystar,0,,1,California,Plants
Eriastrum densifolium ssp. sanctorum,Santa Ana River woolly-star,0,,1,California,Plants
Ericameria fasciculata,Eastwood's goldenbush,0,,1,California,Plants
Ericameria nauseosa var. texensis,rubber rabbitbrush,0,,1,Texas,Plants
Ericameria palmeri var. palmeri,Palmer's rabbitbrush,0,,1,California,Plants
Erigeron caespitosus,tufted fleabane,1,Nebraska,1,Nebraska,Plants
Erigeron calvus,bald fleabane,0,,1,California,Plants
Erigeron decumbens,Willamette fleabane,1,Oregon,1,Oregon,Plants
Erigeron divergens,spreading fleabane,1,Nebraska,1,Nebraska,Plants
Erigeron hyssopifolius,hyssopleaf fleabane,1,Vermont,1,Vermont,Plants
Erigeron kachinensis,kachina fleabane,0,,1,Colorado,Plants
Erigeron lonchophyllus,shortray fleabane,1,Nebraska,1,Nebraska,Plants
Erigeron ochroleucus,buff fleabane,0,,1,Nebraska,Plants
Erigeron parishii,Parish's fleabane,0,,1,California,Plants
Erigeron philadelphicus var. provancheri,Philadelphia fleabane,0,,1,Vermont,Plants
Erigeron subtrinervis,threenerve fleabane,1,Nebraska,1,Nebraska,Plants
Erigeron vetensis,early bluetop fleabane,0,,1,Nebraska,Plants
Erigeron wilkenii,Dieter's erigeron,0,,1,Colorado,Plants
Erignathus barbatus nauticus,Bearded Seal (Beringia DPS),0,,1,Alaska,Mammals
Erimacrus isenbeckii,hair crab,0,,1,Alaska,Other Invertebrates
Erimystax harryi,Ozark chub,1,Arkansas,1,Missouri,Fish
Erinna aulacospira,No Common Name,1,Hawaii,1,Hawaii,Other
Erinna newcombi,Newcomb's Snail,1,Hawaii,1,Hawaii,Other
Eriocaulon decangulare,tenangle pipewort,0,,1,Tennessee,Plants
Eriocaulon texense,Texas pipewort,0,,1,South Carolina,Plants
Eriochloa michauxii,Longleaf Cupgrass,0,,1,South Carolina,Plants
Eriochloa michauxii var. michauxii,Michaux's Longleaf Cupgrass,1,Georgia,1,Georgia,Plants
Eriodictyon altissimum,Indian Knob mountainbalm,0,,1,California,Plants
Eriodictyon capitatum,Lompoc yerba santa,0,,1,California,Plants
Eriogonum allenii,shale barren buckwheat,0,,1,West Virginia,Plants
Eriogonum alpinum,Trinity buckwheat,0,,1,California,Plants
Eriogonum apricum var. apricum,Ione buckwheat,0,,1,California,Plants
Eriogonum apricum var. prostratum,Irish Hill buckwheat,0,,1,California,Plants
Eriogonum brandegeei,Brandegee's buckwheat,0,,1,Colorado,Plants
Eriogonum brevicaule var. brevicaule,shortstem buckwheat,0,,1,Nebraska,Plants
Eriogonum butterworthianum,Butterworth's buckwheat,0,,1,California,Plants
Eriogonum callistum,Tehachapi buckwheat,0,,1,California,Plants
Eriogonum cernuum,nodding buckwheat,1,Nebraska,1,Nebraska,Plants
Eriogonum chrysops,bitterroot buckwheat,1,Oregon,1,Oregon,Plants
Eriogonum clavellatum,Comb Wash buckwheat,0,,1,Colorado,Plants
Eriogonum coloradense,Colorado buckwheat,0,,1,Colorado,Plants
Eriogonum correllii,Correll's buckwheat,0,,1,Texas,Plants
Eriogonum crocatum,Conejo buckwheat,0,,1,California,Plants
Eriogonum crosbyae,Crosby's buckwheat,1,Oregon,1,Oregon,Plants
Eriogonum evanidum,Baja buckwheat,0,,1,California,Plants
Eriogonum giganteum var. compactum,Santa Barbara Island buckwheat,0,,1,California,Plants
Eriogonum gordonii,Gordon's buckwheat,1,Nebraska,1,Nebraska,Plants
Eriogonum grande var. timorum,San Nicolas Island buckwheat,0,,1,California,Plants
Eriogonum greggii,Gregg's buckwheat,0,,1,Texas,Plants
Eriogonum hemipterum var. hemipterum,Chisos Mountain buckwheat,0,,1,Texas,Plants
Eriogonum kelloggii,Red Mountain buckwheat,0,,1,California,Plants
Eriogonum kennedyi var. austromontanum,southern mountain buckwheat,0,,1,California,Plants
Eriogonum kennedyi var. pinicola,Kern buckwheat,0,,1,California,Plants
Eriogonum longifolium,longleaf eriogonum,0,,1,Louisiana,Plants
Eriogonum longifolium var. harperi,Harper's buckwheat,0,,1,Tennessee,Plants
Eriogonum longifolium var. longifolium,longleaf buckwheat,1,Missouri,1,Missouri,Plants
Eriogonum microthecum var. lacus-ursi,Bear lake buckwheat,0,,1,California,Plants
Eriogonum multiflorum,heartsepal buckwheat,0,,1,Louisiana,Plants
Eriogonum nealleyi,Irion County buckwheat,0,,1,Texas,Plants
Eriogonum nudum var. decurrens,Ben Lomond buckwheat,0,,1,California,Plants
Eriogonum nudum var. psychicola,naked buckwheat,0,,1,California,Plants
Eriogonum ovalifolium var. vineum,Cushenbury buckwheat,0,,1,California,Plants
Eriogonum pelinophilum,clay-loving wild buckwheat,0,,1,Colorado,Plants
Eriogonum suffruticosum,bushy wild-buckwheat,0,,1,Texas,Plants
Eriogonum tenellum var. ramosissimum,tall buckwheat,0,,1,Texas,Plants
Eriogonum thornei,Thorne's buckwheat,0,,1,California,Plants
Eriogonum truncatum,Mt. Diablo buckwheat,0,,1,California,Plants
Eriogonum twisselmannii,Twisselmann's buckwheat,0,,1,California,Plants
Eriogonum umbellatum var. lautum,Scott Valley sulphur-flower buckwheat,0,,1,California,Plants
Eriophorum tenellum,fewnerved cottongrass,0,,1,Vermont,Plants
Eriophyllum congdonii,Congdon's woolly sunflower,0,,1,California,Plants
Eriophyllum lanatum var. hallii,Hall's woolly sunflower,0,,1,California,Plants
Eriophyllum latilobum,San Mateo woolly sunflower,0,,1,California,Plants
Erodium macrophyllum var. macrophyllum,roundleaf stork's bill,0,,1,California,Plants
Erotylidae,pleasing fungus beetles,0,,1,Florida,Other Invertebrates
Eryngium aquaticum var. ravenelii,rattlesnakemaster,0,,1,South Carolina,Plants
Eryngium aristulatum var. hooveri,Hoover's eryngo,0,,1,California,Plants
Eryngium aristulatum var. parishii,San Diego button-celery,0,,1,California,Plants
Eryngium constancei,Loch Lomond coyote-thistle,0,,1,California,Plants
Eryngium integrifolium,blueflower eryngo,0,,1,Tennessee,Plants
Eryngium pendletonensis,Pendleton's eryngo,0,,1,California,Plants
Eryngium racemosum,Delta eryngo,0,,1,California,Plants
Eryngium yuccifolium var. yuccifolium,button eryngo,0,,1,Nebraska,Plants
Erynnis afranius,Afranius Duskywing,0,,1,Nebraska,Other Invertebrates
Erynnis persius fredericki,Hairy Duskywing,0,,1,Nebraska,Other Invertebrates
Erynnis propertius,Propertius Duskywing,1,Washington,1,Washington,Other Invertebrates
Erysimum capitatum,western wallflower,0,,1,Tennessee,Plants
Erysimum inconspicuum,shy wallflower,1,Nebraska,1,Nebraska,Plants
Erysimum menziesii,Menzies' wallflower,0,,1,California,Plants
Erysimum teretifolium,Ben Lomond wallflower,0,,1,California,Plants
Erythemis vesiculosa,Great Pondhawk,0,,1,Colorado,Other Invertebrates
Erythrina sandwicensis,wili wili,1,Hawaii,1,Hawaii,Plants
Erythrodiplax umbrata,Band-winged Dragonlet,0,,1,Ohio,Other Invertebrates
Erythroecia hebardi,Hebard's noctuid moth,2,"Ohio,Virginia",1,Virginia,Other
Erythronium albidum,white fawnlily,0,,1,Louisiana,Plants
Erythronium elegans,Coast Range fawnlily,1,Oregon,1,Oregon,Plants
Erythronium mesochoreum,midland fawnlily,1,Nebraska,1,Nebraska,Plants
Erythronium rostratum,yellow troutlily,0,,1,Tennessee,Plants
Escaryus cryptorobius,Montane centipede,1,Virginia,1,Virginia,Other Invertebrates
Escaryus ethopus,A centipede,1,Virginia,1,Virginia,Other Invertebrates
Escaryus orestes,Whitetop Mountain centipede,1,Virginia,1,Virginia,Other Invertebrates
Eschscholzia lemmonii ssp. kernensis,Tejon poppy,0,,1,California,Plants
Eschscholzia rhombipetala,diamond-petaled poppy,0,,1,California,Plants
Escobaria dasyacantha ssp. chaffeyi,Chaffey's cory cactus,0,,1,Texas,Plants
Escobaria dasyacantha ssp. dasyacantha,Dense cory cactus,0,,1,Texas,Plants
Escobaria duncanii,Duncan's cory cactus,0,,1,Texas,Plants
Escobaria hesteri,Hester's cory cactus,0,,1,Texas,Plants
Escobaria minima,Nellie's cory cactus,0,,1,Texas,Plants
Escobaria sneedii ssp. orcuttii,Guadalupe Mountains pincushion cactus,0,,1,Texas,Plants
Escobaria sneedii ssp. sneedii,Sneed's pincushion cactus,0,,1,Texas,Plants
Esox americanus americanus,redfin pickerel,2,"Maine,New Hampshire",1,Maine,Fish
Esox americanus vermiculatus,grass pickerel,1,West Virginia,1,West Virginia,Fish
Esox niger,chain pickerel,2,"Connecticut,Oklahoma",1,Connecticut,Fish
Etheostoma,smoothbelly darters,3,"Alabama,Georgia,Oklahoma",1,Alabama,Fish
Etheostoma akatulo,bluemask darter,0,,1,Tennessee,Fish
Etheostoma aquali,coppercheek darter,1,Tennessee,1,Tennessee,Fish
Etheostoma barbouri,teardrop darter,1,Tennessee,1,Tennessee,Fish
Etheostoma bellator,Warrior darter,0,,1,Alabama,Fish
Etheostoma bellum,orangefin darter,1,Tennessee,1,Tennessee,Fish
Etheostoma blennius sequatchiense,Sequatchie Blenny Darter,1,Tennessee,1,Tennessee,Fish
Etheostoma cervus,Chickasaw Darter,1,Tennessee,1,Tennessee,Fish
Etheostoma chermocki,vermilion darter,1,Alabama,1,Alabama,Fish
Etheostoma chienense,relict darter,1,Kentucky,1,Kentucky,Fish
Etheostoma collettei,creole darter,1,Oklahoma,1,Oklahoma,Fish
Etheostoma corona,crown darter,1,Tennessee,1,Tennessee,Fish
Etheostoma crossopterum,fringed darter,1,Illinois,1,Illinois,Fish
Etheostoma derivativum,Stone Darter,1,Kentucky,1,Kentucky,Fish
Etheostoma etowahae,Etowah darter,1,Georgia,1,Georgia,Fish
Etheostoma euzonum erizonum,Current saddled darter,1,Missouri,1,Missouri,Fish
Etheostoma euzonum euzonum,Arkansas saddled darter,1,Missouri,1,Missouri,Fish
Etheostoma fonticola,fountain darter,1,Texas,1,Texas,Fish
Etheostoma forbesi,Barrens darter,1,Tennessee,1,Tennessee,Fish
Etheostoma fragi,Strawberry darter,1,Arkansas,1,Arkansas,Fish
Etheostoma fricksium,Savannah darter,1,South Carolina,1,South Carolina,Fish
Etheostoma gracile,slough darter,1,Kansas,1,Kansas,Fish
Etheostoma grahami,Rio Grande darter,1,Texas,1,Texas,Fish
Etheostoma hopkinsi,Christmas darter,1,South Carolina,1,South Carolina,Fish
Etheostoma jessiae,blueside darter,1,North Carolina,1,Virginia,Fish
Etheostoma kantuckeense,Highland Rim darter,1,Kentucky,1,Kentucky,Fish
Etheostoma lachneri,Tombigbee darter,1,Mississippi,1,Mississippi,Fish
Etheostoma lepidum,greenthroat darter,1,New Mexico,1,New Mexico,Fish
Etheostoma longimanum,longfin darter,1,West Virginia,1,West Virginia,Fish
Etheostoma luteovinctum,redband darter,0,,1,Tennessee,Fish
Etheostoma marmorpinnum,Marbled Darter,0,,1,Tennessee,Fish
Etheostoma meridianum,southern sand darter,1,Mississippi,1,Mississippi,Fish
Etheostoma moorei,yellowcheek darter,1,Arkansas,1,Arkansas,Fish
Etheostoma nianguae,Niangua darter,1,Missouri,1,Missouri,Fish
Etheostoma nigripinne,blackfin darter,1,Mississippi,1,Mississippi,Fish
Etheostoma nuchale,watercress darter,1,Alabama,1,Alabama,Fish
Etheostoma obeyense,barcheek darter,0,,1,Tennessee,Fish
Etheostoma okaloosae,Okaloosa darter,1,Florida,1,Florida,Fish
Etheostoma olivaceum,sooty darter,1,Tennessee,1,Tennessee,Fish
Etheostoma pallididorsum,paleback darter,1,Arkansas,1,Arkansas,Fish
Etheostoma perlongum,Waccamaw darter,1,North Carolina,1,North Carolina,Fish
Etheostoma phytophilum,rush darter,1,Alabama,1,Alabama,Fish
Etheostoma pseudovulatum,egg-mimic darter,1,Tennessee,1,Tennessee,Fish
Etheostoma rafinesquei,Kentucky darter,1,Kentucky,1,Kentucky,Fish
Etheostoma raneyi,Yazoo darter,1,Mississippi,1,Mississippi,Fish
Etheostoma rubrum,bayou darter,1,Mississippi,1,Mississippi,Fish
Etheostoma sanguifluum,bloodfin darter,1,Kentucky,1,Kentucky,Fish
Etheostoma scotti,Cherokee darter,1,Georgia,1,Georgia,Fish
Etheostoma sellare,Maryland darter,1,Maryland,1,Maryland,Fish
Etheostoma serrifer,sawcheek darter,0,,1,South Carolina,Fish
Etheostoma simoterum,snubnose darter,0,,1,North Carolina,Fish
Etheostoma sitikuense,Citico Darter,0,,1,Tennessee,Fish
Etheostoma spilotum,Kentucky Arrow Darter,1,Kentucky,1,Kentucky,Fish
Etheostoma squamiceps,spottail darter,1,Illinois,1,Illinois,Fish
Etheostoma striatulum,striated darter,1,Tennessee,1,Tennessee,Fish
Etheostoma swaini,Gulf darter,1,Kentucky,1,Kentucky,Fish
Etheostoma swannanoa,Swannanoa darter,1,Virginia,1,Virginia,Fish
Etheostoma tecumsehi,Shawnee darter,1,Kentucky,1,Kentucky,Fish
Etheostoma uniporum,current darter,1,Arkansas,1,Arkansas,Fish
Etheostoma virgatum,striped darter,1,Kentucky,1,Kentucky,Fish
Etheostoma zonifer,backwater darter,1,Mississippi,1,Mississippi,Fish
Etmopterus villosus,Hawaiian lanternshark,1,Hawaii,1,Hawaii,Fish
Etropus crossotus,fringed flounder,2,"Florida,South Carolina",1,South Carolina,Fish
Eubotrys racemosa,swamp doghobble,0,,1,Tennessee,Plants
Eubotrys recurva,redtwig doghobble,0,,1,West Virginia,Plants
Eubranchipus intricatus,smooth-lipped fairy shrimp,1,Massachusetts,1,Massachusetts,Other Invertebrates
Eubranchipus neglectus,neglected fairy shrimp,0,,1,Illinois,Other Invertebrates
Eubranchipus oregonus,Oregon fairy shrimp,0,,1,Oklahoma,Other Invertebrates
Eubranchipus serratus,ethologist fairy shrimp,2,"Wisconsin,Wyoming",1,Arizona,Other Invertebrates
Eubranchus exiguus,dwarf balloon aeolis,0,,1,Rhode Island,Mollusks
Eubranchus pallidus,Painted Balloon Worm,0,,1,Rhode Island,Mollusks
Eubulus,no common name,1,Texas,1,Texas,Other Invertebrates
Eucanthus alutaceus,Mat Red Globe Scarab Beetle,0,,1,Florida,Other Invertebrates
Eucephalus vialis,wayside aster,1,Oregon,1,Oregon,Plants
Eucera birkmanniella,A longhorned bee,1,Texas,1,Texas,Other Invertebrates
Euchemotrema fasciatum,mountain pillsnail,0,,1,North Carolina,Mollusks
Euchemotrema fraternum montanum,(a pillsnail),1,Tennessee,1,Tennessee,Other
Euchemotrema hubrichti,carinate pillsnail,2,"Illinois,Wisconsin",1,Michigan,Mollusks
Euchemotrema wichitorum,Wichita Mountains pillsnail,0,,1,Oklahoma,Mollusks
Euchlaena effecta,Effective Euchaena Moth,1,West Virginia,1,West Virginia,Other Invertebrates
Euchloe ausonides insulanus,Island marble,1,Washington,1,Washington,Other Invertebrates
Euchloe ausonides palaeoreios,Creamy Marblewing,0,,1,Nebraska,Other Invertebrates
Euchloe hyantis andrewsi,Andrewâs marble butterfly,1,California,1,California,Other Invertebrates
Euconulus alderi,A land snail (no common name),1,Michigan,1,Michigan,Other
Euconulus fulvus,brown hive,1,Pennsylvania,1,Pennsylvania,Mollusks
Euconulus polygyratus,fat hive,0,,1,West Virginia,Mollusks
Eucosma fulminana,a torticid moth,1,Illinois,1,Illinois,Other
Eucosma hennei,Henneâs eucosman moth,1,California,1,California,Other
Eucyclogobius newberryi,tidewater goby,1,California,1,California,Fish
Eucyclops elegans,Copepod sp.,0,,1,District of Columbia,Other Invertebrates
Eufidonia discospilata,Sharp-lined Powder Moth,0,,1,Rhode Island,Other Invertebrates
Eugenes fulgens,Magnificent Hummingbird,1,Arizona,1,Arizona,Birds
Eugenia bryanii,,0,,1,Guam,Plants
Eugenia koolauensis,nioi,1,Hawaii,1,Hawaii,Plants
Euglandina texasiana,glossy wolfsnail,0,,1,Texas,Mollusks
Euhadenoecus puteanus,cave cricket,0,,1,Tennessee,Other Invertebrates
Euhesma morrisoni,Morrison's Mosaic,0,,1,Connecticut,Other Invertebrates
Eulampis holosericeus,Green-throated Carib,2,"Puerto Rico,Virgin Islands",1,Puerto Rico,Birds
Eulimnadia antlei,Oklahoma clam shrimp,1,New Mexico,1,New Mexico,Other Invertebrates
Eulimnadia cylindrova,barrel-cyst clam shrimp,1,New Mexico,1,New Mexico,Other Invertebrates
Eulimnadia diversa,variable clam shrimp,1,New Mexico,1,New Mexico,Other Invertebrates
Eulimnadia follismilis,Clam Shrimp,1,New Mexico,1,New Mexico,Other
Eulimnadia texana,Texas clam shrimp,1,New Mexico,1,New Mexico,Other Invertebrates
Eumaeus atala,Atala,1,Florida,1,Florida,Other Invertebrates
Eumeces anthracinus pluvialis,Southern Coal Skink,1,Mississippi,1,Missouri,Reptiles
Eumeces inexpectatus,Southeastern Five-lined Skink,2,"Alabama,Kentucky",1,Kentucky,Reptiles
Eumeces laticeps,Broad-headed Skink,7,"Delaware,Kansas,Maryland,North Carolina,Ohio,Pennsylvania,West Virginia",1,Ohio,Reptiles
Eumeces skiltonianus,Western Skink,2,"Montana,Utah",1,Arizona,Reptiles
Eumops floridanus,Florida Bonneted Bat,1,Florida,1,Florida,Mammals
Eumops underwoodi,Underwood's mastiff-bat,1,Arizona,1,Arizona,Mammals
Eumorpha achemon,Achemon Sphinx,0,,1,Rhode Island,Other Invertebrates
Eunica monima,Dingy Purplewing,1,Florida,1,Florida,Other Invertebrates
Eunica tatila tatilista,Florida Purplewing,1,Florida,1,Florida,Other Invertebrates
Eunota togata togata,White-cloaked Tiger Beetle,0,,1,Florida,Other Invertebrates
Eunotia abbottiae,No Common Name,1,Hawaii,1,Hawaii,Other
Eunotia smithiae,No Common Name,1,Hawaii,1,Hawaii,Other
Euonymus americanus,strawberry bush,1,Missouri,1,Missouri,Plants
Euonymus obovatus,running strawberry bush,0,,1,Tennessee,Plants
Eupatorium anomalum,Florida thoroughwort,1,Georgia,1,South Carolina,Plants
Eupatorium godfreyanum,Godfrey's thoroughwort,0,,1,West Virginia,Plants
Eupatorium hyssopifolium var. hyssopifolium,hyssopleaf thoroughwort,0,,1,West Virginia,Plants
Eupatorium hyssopifolium var. laciniatum,hyssopleaf thoroughwort,0,,1,West Virginia,Plants
Eupatorium leucolepis,justiceweed,0,,1,Tennessee,Plants
Eupatorium mohrii,Mohr's thoroughwort,0,,1,South Carolina,Plants
Eupatorium pilosum,rough boneset,0,,1,West Virginia,Plants
Eupatorium resinosum,pine barren thoroughwort,0,,1,South Carolina,Plants
Eupatorium rotundifolium var. scabridum,roundleaf thoroughwort,1,Missouri,1,South Carolina,Plants
Eupatorium sessilifolium,upland boneset,1,Vermont,1,Vermont,Plants
Euphagus carolinus carolinus,Rusty Blackbird,0,,1,Alaska,Birds
Euphausiacea,krill,0,,1,Alaska,Other Invertebrates
Euphilotes ancilla,Dotted Blue,0,,1,Nebraska,Other Invertebrates
Euphilotes battoides allyni,El Segundo blue,1,California,1,California,Other Invertebrates
Euphilotes enoptes smithi,Smith blue,1,California,1,California,Other Invertebrates
Euphilotes rita emmeli,Desert buckwheat blue,1,Colorado,1,Colorado,Other
Euphilotes spaldingi,Spalding's Blue,2,"Colorado,New Mexico",1,Colorado,Other Invertebrates
Euphonia musica,Antillean Euphonia,1,Puerto Rico,1,Puerto Rico,Birds
Euphorbia,spurge,1,Hawaii,1,Hawaii,Plants
Euphorbia astyla,alkali sandmat,0,,1,Texas,Plants
Euphorbia bombensis,Dixie sandmat,0,,1,Louisiana,Plants
Euphorbia celastroides,`ekoko,1,Hawaii,1,Hawaii,Plants
Euphorbia chaetocalyx,bristlecup sandmat,0,,1,Texas,Plants
Euphorbia davidii,David's spurge,0,,1,Nebraska,Plants
Euphorbia deppeana,Oahu sandmat,1,Hawaii,1,Hawaii,Plants
Euphorbia eleanoriae,Na Pali sandmat,1,Hawaii,1,Hawaii,Plants
Euphorbia geyeri var. wheeleriana,Geyer's sandmat,0,,1,Texas,Plants
Euphorbia golondrina,Boquillas sandmat,0,,1,Texas,Plants
Euphorbia haeleeleana,Kauai spurge,1,Hawaii,1,Hawaii,Plants
Euphorbia halemanui,Kauai sandmat,1,Hawaii,1,Hawaii,Plants
Euphorbia herbstii,Herbst's sandmat,1,Hawaii,1,Hawaii,Plants
Euphorbia hooveri,Hoover's sandmat,0,,1,California,Plants
Euphorbia innocua,velvet spurge,0,,1,Texas,Plants
Euphorbia jaegeri,Orocopia Mountains spurge,0,,1,California,Plants
Euphorbia jejuna,dwarf sandmat,0,,1,Texas,Plants
