Scientific_Name,Common_Name,#_of_States_2005,States_2005,#_of_States_2015,States_2015,Taxonomic_Group,matches_biotics
Passerella iliaca,Fox Sparrow,1,Alaska,3,"Alaska,Delaware,Maine",Birds,TRUE
Passerina cyanea,Indigo Bunting,5,"Arizona,Connecticut,New Jersey,Ohio,Rhode Island",3,"Connecticut,Rhode Island,South Carolina",Birds,TRUE
Patera pennsylvanica,proud globelet,0,NA,3,"Michigan,Pennsylvania,West Virginia",Mollusks,TRUE
Pekania pennanti,Fisher,0,NA,3,"California,Idaho,Oregon",Mammals,TRUE
Percina aurantiaca,tangerine darter,4,"Georgia,North Carolina,Tennessee,Virginia",3,"Georgia,Tennessee,Virginia",Fish,TRUE
Percina gymnocephala,Appalachia darter,2,"Virginia,West Virginia",3,"North Carolina,Virginia,West Virginia",Fish,TRUE
Percina lenticula,freckled darter,3,"Georgia,Louisiana,Mississippi",3,"Georgia,Louisiana,Mississippi",Fish,TRUE
Percina nasuta,longnose darter,3,"Arkansas,Missouri,Oklahoma",3,"Arkansas,Missouri,Oklahoma",Fish,TRUE
Percina oxyrhynchus,sharpnose darter,2,"North Carolina,Virginia",3,"North Carolina,Virginia,West Virginia",Fish,TRUE
Percina uranidea,stargazing darter,2,"Arkansas,Missouri",3,"Arkansas,Louisiana,Missouri",Fish,TRUE
Percina vigil,saddleback darter,0,NA,3,"Arkansas,Florida,Louisiana",Fish,TRUE
Perognathus fasciatus,Olive-backed Pocket Mouse,4,"Colorado,Nebraska,Utah,Wyoming",3,"Colorado,Nebraska,Wyoming",Mammals,TRUE
Peromyscus nasutus,Northern Rock Mouse,2,"Texas,Utah",3,"Arizona,Oklahoma,Texas",Mammals,TRUE
Peromyscus polionotus,Oldfield Mouse,4,"Alabama,Florida,Mississippi,North Carolina",3,"Florida,Mississippi,North Carolina",Mammals,TRUE
Phalacrocorax auritus,Double-crested Cormorant,5,"Alaska,California,Delaware,Ohio,Rhode Island",3,"Delaware,Massachusetts,North Carolina",Birds,TRUE
Phenacobius uranops,stargazing minnow,4,"Alabama,Georgia,Kentucky,Virginia",3,"Alabama,Georgia,Kentucky",Fish,TRUE
Philomycus virginicus,Virginia mantleslug,2,"Tennessee,Virginia",3,"Tennessee,Virginia,West Virginia",Mollusks,TRUE
Phoca vitulina,Harbor Seal,1,Connecticut,3,"Connecticut,Oregon,Rhode Island",Mammals,TRUE
Photedes inops,Cord-grass Borer,0,NA,3,"Connecticut,Illinois,Massachusetts",Other Invertebrates,TRUE
Phrynosoma douglasii,Pygmy Short-horned Lizard,3,"Nevada,North Dakota,Washington",3,"Nevada,North Dakota,Washington",Reptiles,TRUE
Phyciodes cocyta,Northern Crescent,3,"Maryland,Pennsylvania,West Virginia",3,"Maryland,Nebraska,Pennsylvania",Other Invertebrates,TRUE
Piptatherum racemosum,Black-seeded rice grass,2,"Missouri,Nebraska",3,"Missouri,Nebraska,West Virginia",Plants,TRUE
Pituophis catenifer,Gopher Snake,2,"Minnesota,Wisconsin",3,"Iowa,Minnesota,Wisconsin",Reptiles,TRUE
Pituophis melanoleucus lodingi,Black Pine Snake,3,"Alabama,Louisiana,Mississippi",3,"Alabama,Louisiana,Mississippi",Reptiles,TRUE
Placopecten magellanicus,sea scallop,1,Rhode Island,3,"Maine,New Hampshire,Rhode Island",Mollusks,TRUE
Plagiomnium carolinianum,Carolina Mnium,1,Georgia,3,"Georgia,South Carolina,Tennessee",Plants,TRUE
Plagodis kuetzingi,Purple Plagodis,1,Rhode Island,3,"Maryland,Pennsylvania,Rhode Island",Other Invertebrates,TRUE
Plagopterus argentissimus,woundfin,3,"Arizona,Nevada,Utah",3,"Arizona,Nevada,Utah",Fish,TRUE
Planogyra asteriscus,eastern flat-whorl,2,"Michigan,Wisconsin",3,"Michigan,Minnesota,Wisconsin",Mollusks,TRUE
Platalea ajaja,Roseate Spoonbill,2,"Florida,Texas",3,"Florida,Louisiana,South Carolina",Birds,TRUE
Platanthera integrilabia,white fringeless orchid,1,Georgia,3,"Georgia,South Carolina,Tennessee",Plants,TRUE
Platanthera orbiculata,lesser roundleaved orchid,0,NA,3,"Massachusetts,Tennessee,Vermont",Plants,TRUE
Plethobasus cicatricosus,white wartyback,3,"Alabama,Indiana,Tennessee",3,"Alabama,Ohio,Tennessee",Mollusks,TRUE
Plethodon cinereus,Eastern Red-backed Salamander,4,"District of Columbia,Kentucky,Minnesota,Ohio",3,"District of Columbia,Kentucky,Minnesota",Amphibians,TRUE
Plethodon kentucki,Kentucky Salamander,2,"Kentucky,Virginia",3,"Kentucky,Virginia,West Virginia",Amphibians,TRUE
Plethodon richmondi,Southern Ravine Salamander,3,"North Carolina,Ohio,Tennessee",3,"North Carolina,Ohio,Tennessee",Amphibians,TRUE
Plethodon websteri,Webster's Salamander,4,"Georgia,Louisiana,Mississippi,South Carolina",3,"Louisiana,Mississippi,South Carolina",Amphibians,TRUE
Plethodon welleri,Weller's Salamander,3,"North Carolina,Tennessee,Virginia",3,"North Carolina,Tennessee,Virginia",Amphibians,TRUE
Plethodon yonahlossee,Yonahlossee Salamander,2,"Tennessee,Virginia",3,"North Carolina,Tennessee,Virginia",Amphibians,TRUE
Pleurobema beadleianum,Mississippi pigtoe,2,"Louisiana,Mississippi",3,"Alabama,Louisiana,Mississippi",Mollusks,TRUE
Pleurobema collina,James River spinymussel,3,"North Carolina,Virginia,West Virginia",3,"North Carolina,Virginia,West Virginia",Mollusks,TRUE
Pleurobema georgianum,southern pigtoe,3,"Alabama,Georgia,Tennessee",3,"Alabama,Georgia,Tennessee",Mollusks,TRUE
Pleurobema hanleyianum,Georgia pigtoe,3,"Alabama,Georgia,Tennessee",3,"Alabama,Georgia,Tennessee",Mollusks,TRUE
Pleurobema perovatum,ovate clubshell,4,"Alabama,Georgia,Mississippi,Tennessee",3,"Alabama,Mississippi,Tennessee",Mollusks,TRUE
Pleurobema pyriforme,oval pigtoe,3,"Alabama,Florida,Georgia",3,"Alabama,Florida,Georgia",Mollusks,TRUE
Pleurobema riddellii,Louisiana pigtoe,2,"Louisiana,Texas",3,"Arkansas,Louisiana,Texas",Mollusks,TRUE
Poanes viator viator,Broad-winged Skipper,3,"Indiana,Nebraska,Pennsylvania",3,"Nebraska,Ohio,Pennsylvania",Other Invertebrates,TRUE
Pogonia ophioglossoides,snakemouth orchid,1,Missouri,3,"Missouri,Tennessee,West Virginia",Plants,TRUE
Pogonias cromis,black drum,3,"Florida,South Carolina,Texas",3,"Delaware,New Jersey,South Carolina",Fish,TRUE
Polites mardon,Mardon Skipper,3,"California,Oregon,Washington",3,"California,Oregon,Washington",Other Invertebrates,TRUE
Polygala hookeri,Hooker's milkwort,0,NA,3,"Louisiana,South Carolina,Texas",Plants,TRUE
Pontia protodice,Checkered White,4,"Delaware,New Jersey,New York,Pennsylvania",3,"Delaware,New Jersey,New York",Other Invertebrates,TRUE
Pooecetes gramineus affinis,Oregon vesper sparrow,2,"Oregon,Washington",3,"California,Oregon,Washington",Birds,TRUE
Potamilus inflatus,Alabama heelsplitter,3,"Alabama,Louisiana,Mississippi",3,"Alabama,Louisiana,Mississippi",Mollusks,TRUE
Potamilus purpuratus,bleufer,4,"Georgia,Kansas,Kentucky,Oklahoma",3,"Illinois,Kansas,Kentucky",Mollusks,TRUE
Potamogeton confervoides,Tuckerman's pondweed,1,Vermont,3,"Massachusetts,South Carolina,Vermont",Plants,TRUE
Potamogeton hillii,Hill's pondweed,1,Vermont,3,"Connecticut,Massachusetts,Vermont",Plants,TRUE
Potamogeton ogdenii,Ogden's pondweed,1,Vermont,3,"Connecticut,Massachusetts,Vermont",Plants,TRUE
Prenanthes barbata,barbed rattlesnakeroot,1,Georgia,3,"Louisiana,Tennessee,Texas",Plants,TRUE
Prionotus evolans,striped searobin,2,"Connecticut,South Carolina",3,"Connecticut,Delaware,New Jersey",Fish,TRUE
Procambarus gracilis,prairie crayfish,2,"Kansas,Wisconsin",3,"Iowa,Kansas,Wisconsin",Other Invertebrates,TRUE
Procambarus viaeviridis,vernal crayfish,2,"Louisiana,Missouri",3,"Alabama,Kentucky,Louisiana",Other Invertebrates,TRUE
Prosopium coulterii,pygmy whitefish,5,"Alaska,Idaho,Michigan,Minnesota,Washington",3,"Alaska,Minnesota,Washington",Fish,TRUE
Prunus pumila var. depressa,eastern sandcherry,1,Vermont,3,"Massachusetts,Vermont,West Virginia",Plants,TRUE
Pseudacris illinoensis,Illinois Chorus Frog,3,"Arkansas,Illinois,Missouri",3,"Arkansas,Illinois,Missouri",Amphibians,TRUE
Pseudacris maculata,Boreal Chorus Frog,2,"Wisconsin,Wyoming",3,"Arkansas,New Mexico,Vermont",Amphibians,TRUE
Pseudacris triseriata,Western Chorus Frog,6,"Arizona,New Mexico,New York,Pennsylvania,South Carolina,Vermont",3,"Arizona,New York,Pennsylvania",Amphibians,TRUE
Pseudorca crassidens,False Killer Whale,4,"American Samoa,Hawaii,Puerto Rico,Texas",3,"American Samoa,Hawaii,Texas",Mammals,TRUE
Pseudotriton montanus montanus,Eastern Mud Salamander,1,Delaware,3,"New Jersey,Pennsylvania,Virginia",Amphibians,TRUE
Pseudotriton ruber ruber,Northern Red Salamander,2,"District of Columbia,Ohio",3,"New Jersey,Ohio,West Virginia",Amphibians,TRUE
Pteroglossaspis ecristata,eulophia,1,Georgia,3,"Georgia,Louisiana,South Carolina",Plants,TRUE
Pteronarcys comstocki,Spiny salmonfly,4,"New York,Pennsylvania,Virginia,West Virginia",3,"Maine,Vermont,Virginia",Other Invertebrates,TRUE
Ptilimnium nodosum,harperella,1,Georgia,3,"Georgia,South Carolina,West Virginia",Plants,TRUE
Ptychobranchus foremanianus,Rayed Kidneyshell,1,Alabama,3,"Alabama,Georgia,Tennessee",Mollusks,TRUE
Puffinus griseus,Sooty Shearwater,0,NA,3,"Delaware,Florida,Massachusetts",Birds,TRUE
Pungitius pungitius,ninespine stickleback,2,"Alaska,New York",3,"Alaska,Illinois,New York",Fish,TRUE
Pupilla muscorum,widespread column,2,"Michigan,Virginia",3,"Michigan,Pennsylvania,Virginia",Mollusks,TRUE
Pupoides albilabris,white-lip dagger,1,Delaware,3,"Delaware,Pennsylvania,West Virginia",Mollusks,TRUE
Pycnanthemum muticum,clustered mountainmint,2,"Missouri,Vermont",3,"Missouri,Vermont,West Virginia",Plants,TRUE
Pycnanthemum torrei,Torrey's mountainmint,1,Missouri,3,"Connecticut,Tennessee,West Virginia",Plants,TRUE
Pyganodon grandis,giant floater,3,"Kansas,Vermont,Wyoming",3,"Vermont,West Virginia,Wyoming",Mollusks,TRUE
Pygarctia spraguei,Sprague's Pygarctica,3,"Illinois,Michigan,Wisconsin",3,"Illinois,Michigan,Wisconsin",Other Invertebrates,TRUE
Quercus macrocarpa,bur oak,0,NA,3,"Connecticut,Louisiana,Massachusetts",Plants,TRUE
Quercus oglethorpensis,Oglethorpe oak,1,Georgia,3,"Georgia,Louisiana,South Carolina",Plants,TRUE
Rana pretiosa,Oregon Spotted Frog,3,"California,Oregon,Washington",3,"California,Oregon,Washington",Amphibians,TRUE
Reithrodontomys megalotis,Western Harvest Mouse,3,"Arkansas,California,Minnesota",3,"Arkansas,California,Minnesota",Mammals,TRUE
Reithrodontomys montanus,Plains Harvest Mouse,3,"Arkansas,Missouri,Wyoming",3,"Arizona,Arkansas,Wyoming",Mammals,TRUE
Rhinichthys osculus,speckled dace,5,"Arizona,California,Nevada,Oregon,Utah",3,"Arizona,California,Nevada",Fish,TRUE
Rhinocheilus lecontei,Long-nosed Snake,5,"Colorado,Idaho,Kansas,Oklahoma,Utah",3,"Colorado,Kansas,Oklahoma",Reptiles,TRUE
Rhynchospora capillacea,horned beakrush,1,Vermont,3,"Massachusetts,Tennessee,Vermont",Plants,TRUE
Rorippa aquatica,lakecress,2,"Missouri,Vermont",3,"Missouri,Tennessee,Vermont",Plants,TRUE
Rosa acicularis ssp. sayi,prickly rose,0,NA,3,"Massachusetts,Vermont,West Virginia",Plants,TRUE
Scaphiopus hurterii,Hurter's Spadefoot,2,"Arkansas,Texas",3,"Arkansas,Louisiana,Oklahoma",Amphibians,TRUE
Sceloporus undulatus,Eastern Fence Lizard,2,"District of Columbia,New York",3,"New Jersey,New York,Pennsylvania",Reptiles,TRUE
Scheuchzeria palustris,Rannoch-rush,1,Vermont,3,"Massachusetts,Vermont,West Virginia",Plants,TRUE
Schinia lucens,Leadplant Flower Moth,3,"Illinois,Indiana,Michigan",3,"Michigan,Minnesota,Wisconsin",Other Invertebrates,TRUE
Schizura apicalis,Plain Schizura,3,"Illinois,Massachusetts,Pennsylvania",3,"Maryland,New Jersey,Pennsylvania",Other Invertebrates,TRUE
Schoenoplectus etuberculatus,Canby's bulrush,1,Missouri,3,"Georgia,Louisiana,Missouri",Plants,TRUE
Schoenoplectus hallii,Hall's bulrush,3,"Georgia,Missouri,Nebraska",3,"Missouri,Nebraska,Texas",Plants,TRUE
Scirpus ancistrochaetus,barbed bristle bulrush,1,Vermont,3,"Massachusetts,Vermont,West Virginia",Plants,TRUE
Sciurus niger cinereus,Delmarva Peninsula fox squirrel,4,"Delaware,Maryland,Pennsylvania,Virginia",3,"Delaware,Maryland,Virginia",Mammals,TRUE
Sciurus niger niger,fox squirrel,2,"Florida,Virginia",3,"Florida,South Carolina,Virginia",Mammals,TRUE
Scomberomorus maculatus,Atlantic Spanish mackerel,3,"Florida,South Carolina,Texas",3,"Delaware,South Carolina,Texas",Fish,TRUE
Sebastes auriculatus,brown rockfish,0,NA,3,"Alaska,Oregon,Washington",Fish,TRUE
Sebastes caurinus,copper rockfish,1,Washington,3,"Alaska,Oregon,Washington",Fish,TRUE
Sebastes maliger,quillback rockfish,1,Washington,3,"Alaska,Oregon,Washington",Fish,TRUE
Sebastes nebulosus,China rockfish,1,Washington,3,"Alaska,Oregon,Washington",Fish,TRUE
Sebastes paucispinis,bocaccio,1,Washington,3,"Alaska,California,Washington",Fish,TRUE
Sebastes pinniger,canary rockfish,1,Washington,3,"California,Oregon,Washington",Fish,TRUE
Sedum nevii,Nevius' stonecrop,1,Georgia,3,"Georgia,Tennessee,West Virginia",Plants,TRUE
Selasphorus rufus,Rufous Hummingbird,4,"Alaska,California,Colorado,Nevada",3,"Alaska,Colorado,Nevada",Birds,TRUE
Seriola dumerili,greater amberjack,3,"Florida,Hawaii,Texas",3,"Hawaii,Texas,Virgin Islands",Fish,FALSE
Setophaga graciae,Grace's Warbler,3,"Colorado,Nevada,New Mexico",3,"Arizona,Colorado,New Mexico",Birds,TRUE
Sialia mexicana,Western Bluebird,2,"Oregon,Washington",3,"New Mexico,Oregon,Washington",Birds,TRUE
Sibbaldiopsis tridentata,shrubby fivefingers,1,Georgia,3,"Georgia,Tennessee,West Virginia",Plants,TRUE
Sideridis maryx,The Maroonwing,3,"New York,Pennsylvania,Rhode Island",3,"Connecticut,Pennsylvania,Rhode Island",Other Invertebrates,TRUE
Sigmodon hispidus,Hispid Cotton Rat,4,"Arizona,California,Florida,Nebraska",3,"Arizona,Florida,Nebraska",Mammals,TRUE
Silene ovata,Blue Ridge catchfly,1,Georgia,3,"Georgia,South Carolina,Tennessee",Plants,TRUE
Silene regia,royal catchfly,1,Georgia,3,"Georgia,Missouri,Tennessee",Plants,TRUE
Siphateles bicolor,tui chub,3,"California,Nevada,Oregon",3,"California,Nevada,Washington",Fish,TRUE
Siphlonisca aerodromia,Tomah Mayfly,3,"Maine,New York,Vermont",3,"Maine,New York,Vermont",Other Invertebrates,TRUE
Siren intermedia nettingi,Western Lesser Siren,3,"Kentucky,Michigan,Oklahoma",3,"Kentucky,Michigan,Oklahoma",Amphibians,TRUE
Sistrurus miliarius streckeri,Western Pigmy Rattlesnake,2,"Kentucky,Tennessee",3,"Kentucky,Missouri,Tennessee",Reptiles,TRUE
Solidago ptarmicoides,white flat-top goldenrod,1,Vermont,3,"Massachusetts,Tennessee,Vermont",Plants,TRUE
Somatochlora albicincta,Ringed Emerald,2,"New York,Vermont",3,"Maine,New Hampshire,Vermont",Other Invertebrates,TRUE
Somatochlora cingulata,Lake Emerald,4,"Michigan,New York,Vermont,Wisconsin",3,"Minnesota,Vermont,Wisconsin",Other Invertebrates,TRUE
Somatochlora minor,Ocellated Emerald,1,New York,3,"Maine,Minnesota,New Hampshire",Other Invertebrates,TRUE
Somatochlora tenebrosa,Clamp-tipped Emerald,1,Wisconsin,3,"Delaware,District of Columbia,Wisconsin",Other Invertebrates,TRUE
Somatochlora williamsoni,Williamson's Emerald,3,"Pennsylvania,Virginia,West Virginia",3,"New Jersey,Pennsylvania,Virginia",Other Invertebrates,TRUE
Somatogyrus,A Hydrobid Snail,2,"South Carolina,Tennessee",3,"Florida,North Carolina,Tennessee",Mollusks,FALSE
Somatogyrus virginicus,panhandle pebblesnail,2,"North Carolina,Virginia",3,"North Carolina,South Carolina,Virginia",Mollusks,TRUE
Sonora semiannulata,Ground Snake,4,"Arkansas,Idaho,Kansas,Utah",3,"Arkansas,Kansas,Missouri",Reptiles,TRUE
Sorex palustris punctulatus,southern water shrew,3,"Maryland,Pennsylvania,West Virginia",3,"Maryland,Pennsylvania,West Virginia",Mammals,TRUE
Sparganium androcladum,branched bur-reed,1,Vermont,3,"Tennessee,Vermont,West Virginia",Plants,TRUE
Speyeria zerene hippolyta,Oregon silverspot Butterfly,3,"California,Oregon,Washington",3,"California,Oregon,Washington",Other Invertebrates,TRUE
Sphinx franckii,Franck's Sphinx,2,"Delaware,Pennsylvania",3,"Delaware,Maryland,Pennsylvania",Other Invertebrates,TRUE
Sphoeroides maculatus,northern puffer,3,"Connecticut,New York,South Carolina",3,"Delaware,New Jersey,New York",Fish,TRUE
Sphyrna mokarran,great hammerhead,2,"Florida,Texas",3,"Delaware,Florida,Texas",Fish,TRUE
Sphyrna tiburo,bonnethead,4,"Florida,New York,South Carolina,Texas",3,"Delaware,South Carolina,Texas",Fish,TRUE
Spilogale gracilis,Western Spotted Skunk,2,"Montana,Texas",3,"Arizona,Texas,Washington",Mammals,TRUE
Spiraea virginiana,Virginia spiraea,1,Georgia,3,"Georgia,Tennessee,West Virginia",Plants,TRUE
Spiranthes longilabris,giantspiral lady's tresses,1,Georgia,3,"Georgia,South Carolina,Texas",Plants,TRUE
Spiranthes magnicamporum,Great Plains lady's tresses,1,Georgia,3,"Georgia,Louisiana,Tennessee",Plants,TRUE
Spiranthes vernalis,spring lady's tresses,1,Nebraska,3,"Massachusetts,Nebraska,West Virginia",Plants,TRUE
Spirinchus thaleichthys,longfin smelt,2,"Alaska,California",3,"Alaska,California,Oregon",Fish,TRUE
Spizella atrogularis,Black-chinned Sparrow,2,"California,Nevada",3,"Arizona,Nevada,New Mexico",Birds,TRUE
Squatina dumeril,Atlantic angel shark,2,"Delaware,Texas",3,"Delaware,New Jersey,Texas",Fish,TRUE
Squilla empusa,Common Mantis Shrimp,3,"Connecticut,Rhode Island,South Carolina",3,"Connecticut,Rhode Island,South Carolina",Other Invertebrates,FALSE
Stelgidopteryx serripennis,Northern Rough-winged Swallow,4,"Connecticut,Minnesota,Ohio,Virginia",3,"Maine,Minnesota,Virginia",Birds,TRUE
Stenanthium leimanthoides,pine barren deathcamas,0,NA,3,"Louisiana,Tennessee,West Virginia",Plants,TRUE
Stenella frontalis,Atlantic Spotted Dolphin,2,"Puerto Rico,Texas",3,"Puerto Rico,Texas,Virgin Islands",Mammals,TRUE
Steno bredanensis,Rough-toothed Dolphin,4,"American Samoa,Hawaii,Puerto Rico,Texas",3,"American Samoa,Hawaii,Texas",Mammals,TRUE
Stenotomus chrysops,scup,1,South Carolina,3,"Connecticut,Delaware,New Jersey",Fish,TRUE
Stenotrema barbatum,bristled slitmouth,0,NA,3,"District of Columbia,Pennsylvania,West Virginia",Mollusks,TRUE
Stenotrema pilula,pygmy slitmouth,2,"Tennessee,Virginia",3,"North Carolina,Tennessee,Virginia",Mollusks,TRUE
Stereochilus marginatus,Many-lined Salamander,4,"Florida,Georgia,North Carolina,Virginia",3,"Florida,North Carolina,Virginia",Amphibians,TRUE
Sternotherus carinatus,Razor-backed Musk Turtle,2,"Alabama,Oklahoma",3,"Alabama,Louisiana,Oklahoma",Reptiles,TRUE
Sternotherus minor peltifer,stripeneck musk turtle,2,"Louisiana,Virginia",3,"Louisiana,North Carolina,Virginia",Reptiles,TRUE
Striatura ferrea,black striate,1,Wisconsin,3,"Minnesota,West Virginia,Wisconsin",Mollusks,TRUE
Strix occidentalis caurina,Northern Spotted Owl,3,"California,Oregon,Washington",3,"California,Oregon,Washington",Birds,TRUE
Strombus gigas,queen conch,1,Florida,3,"Florida,Puerto Rico,Virgin Islands",Mollusks,TRUE
Strongylocentrotus droebachiensis,Green Sea Urchin,0,NA,3,"Alaska,Maine,Rhode Island",Other Invertebrates,TRUE
Stygobromus allegheniensis,Allegheny cave amphipod,3,"Maryland,Pennsylvania,West Virginia",3,"Maryland,Pennsylvania,West Virginia",Other Invertebrates,TRUE
Stygobromus biggersi,Biggers' cave amphipod,4,"Maryland,Pennsylvania,Virginia,West Virginia",3,"Maryland,Pennsylvania,West Virginia",Other Invertebrates,TRUE
Stygobromus franzi,Franz's cave amphipod,3,"Maryland,Pennsylvania,West Virginia",3,"Maryland,Pennsylvania,West Virginia",Other Invertebrates,TRUE
Stygobromus gracilipes,Shenandoah Valley cave amphipod,4,"Maryland,Pennsylvania,Virginia,West Virginia",3,"Maryland,Pennsylvania,West Virginia",Other Invertebrates,TRUE
Stygobromus kenki,Kenk's amphipod,2,"District of Columbia,Virginia",3,"District of Columbia,Maryland,Virginia",Other Invertebrates,TRUE
Stygobromus tenuis tenuis,slender stygobromid,4,"Connecticut,Maryland,Massachusetts,New York",3,"Connecticut,Maryland,Massachusetts",Other Invertebrates,TRUE
Stylogomphus albistylus,Eastern Least Clubtail,2,"Delaware,Maryland",3,"Delaware,District of Columbia,Minnesota",Other Invertebrates,TRUE
Sympetrum internum,Cherry-faced Meadowhawk,2,"Maryland,West Virginia",3,"Ohio,Pennsylvania,West Virginia",Other Invertebrates,TRUE
Sympetrum obtrusum,White-faced Meadowhawk,4,"Maryland,Pennsylvania,Virginia,West Virginia",3,"Maryland,Virginia,West Virginia",Other Invertebrates,TRUE
Symphoricarpos albus var. albus,common snowberry,0,NA,3,"Massachusetts,Nebraska,West Virginia",Plants,TRUE
Sympistis dentata,blueberry sallow,4,"New Jersey,New York,Pennsylvania,Rhode Island",3,"Connecticut,Pennsylvania,Rhode Island",Other Invertebrates,TRUE
Sympistis riparia,Dune Noctuid Moth,0,NA,3,"Connecticut,Massachusetts,Rhode Island",Other Invertebrates,TRUE
Syngnathus fuscus,northern pipefish,4,"Connecticut,Florida,New York,South Carolina",3,"Connecticut,Florida,New York",Fish,TRUE
Tachycineta bicolor,Tree Swallow,2,"Arizona,Ohio",3,"Alaska,Maine,Rhode Island",Birds,TRUE
Tantilla hobartsmithi,Southwestern Black-headed Snake,3,"Arizona,Colorado,Utah",3,"Colorado,Nevada,Utah",Reptiles,TRUE
Telebasis byersi,Duckweed Firetail,1,West Virginia,3,"Delaware,Maryland,West Virginia",Other Invertebrates,TRUE
Tetracha virginica,Virginia Big-headed Tiger Beetle,4,"Delaware,Pennsylvania,West Virginia,Wisconsin",3,"Delaware,West Virginia,Wisconsin",Other Invertebrates,TRUE
Thamnophis brachystoma,Short-headed Garter Snake,2,"New York,Pennsylvania",3,"New York,Ohio,Pennsylvania",Reptiles,TRUE
Theliderma intermedia,Cumberland monkeyface pearly mussel,3,"Alabama,Tennessee,Virginia",3,"Alabama,Tennessee,Virginia",Mollusks,TRUE
Theliderma sparsa,Appalachian monkeyface pearly mussel,2,"Tennessee,Virginia",3,"Alabama,Tennessee,Virginia",Mollusks,TRUE
Thuja occidentalis,arborvitae,0,NA,3,"Massachusetts,Tennessee,West Virginia",Plants,TRUE
Toxolasma pullus,Savannah lilliput,3,"Georgia,North Carolina,South Carolina",3,"Georgia,North Carolina,South Carolina",Mollusks,TRUE
Toxolasma texasiense,Texas lilliput,4,"Arkansas,Kentucky,Missouri,Oklahoma",3,"Arkansas,Kentucky,Oklahoma",Mollusks,TRUE
Toxostoma lecontei,Le Conte's Thrasher,3,"Arizona,California,Nevada",3,"Arizona,California,Nevada",Birds,TRUE
Triantha glutinosa,sticky tofieldia,1,Vermont,3,"Tennessee,Vermont,West Virginia",Plants,TRUE
Trichechus manatus latirostris,Florida manatee,1,Florida,3,"Florida,South Carolina,Virginia",Mammals,TRUE
Trichophorum cespitosum,tufted bulrush,1,Vermont,3,"South Carolina,Tennessee,Vermont",Plants,TRUE
Trichostema brachiatum,fluxweed,1,Nebraska,3,"Massachusetts,Nebraska,Vermont",Plants,TRUE
Tridens carolinianus,Carolina Redtop,1,Georgia,3,"Georgia,Louisiana,South Carolina",Plants,TRUE
Trifolium reflexum,buffalo clover,0,NA,3,"Nebraska,Tennessee,West Virginia",Plants,TRUE
Trillium nivale,snow trillium,2,"Missouri,Nebraska",3,"Missouri,Nebraska,West Virginia",Plants,TRUE
Trinectes maculatus,hogchoker,3,"Connecticut,Rhode Island,South Carolina",3,"Connecticut,Rhode Island,South Carolina",Fish,TRUE
Tringa incana,Wandering Tattler,2,"Alaska,Hawaii",3,"Alaska,California,Hawaii",Birds,TRUE
Triodopsis anteridon,Carter threetooth,2,"Tennessee,Virginia",3,"Tennessee,Virginia,West Virginia",Mollusks,TRUE
Triodopsis picea,Spruce Knob threetooth,3,"Maryland,Pennsylvania,Virginia",3,"Maryland,Virginia,West Virginia",Mollusks,TRUE
Tyrannus forficatus,Scissor-tailed Flycatcher,5,"Kansas,Louisiana,Nebraska,Tennessee,Texas",3,"Kansas,Nebraska,Texas",Birds,TRUE
Uca minax,redjointed fiddler,2,"Florida,South Carolina",3,"Florida,Rhode Island,South Carolina",Other Invertebrates,TRUE
Uca pugilator,Atlantic sand fiddler,2,"Florida,South Carolina",3,"Florida,Rhode Island,South Carolina",Other Invertebrates,TRUE
Uniomerus declivis,tapered pondhorn,3,"Arkansas,Mississippi,Tennessee",3,"Arkansas,Mississippi,Tennessee",Mollusks,TRUE
Urocitellus richardsonii,Richardson's Ground Squirrel,3,"Minnesota,North Dakota,South Dakota",3,"Minnesota,North Dakota,South Dakota",Mammals,TRUE
Urophycis chuss,red hake,1,Connecticut,3,"Connecticut,Delaware,New Jersey",Fish,TRUE
Ursus americanus luteolus,Louisiana black bear,3,"Louisiana,Mississippi,Texas",3,"Louisiana,Mississippi,Texas",Mammals,TRUE
Utaperla gaspesiana,Gaspe sallfly,3,"New York,Pennsylvania,West Virginia",3,"Maryland,Pennsylvania,West Virginia",Other Invertebrates,TRUE
Utricularia resupinata,northeastern bladderwort,1,Vermont,3,"Massachusetts,Tennessee,Vermont",Plants,TRUE
Utricularia subulata,zigzag bladderwort,1,Missouri,3,"Massachusetts,Missouri,Tennessee",Plants,TRUE
Vaccinium macrocarpon,cranberry,0,NA,3,"Connecticut,Tennessee,West Virginia",Plants,TRUE
Vallonia parvula,trumpet vallonia,1,Virginia,3,"Michigan,Virginia,Wisconsin",Mollusks,TRUE
Vallonia perspectiva,thin-lip vallonia,0,NA,3,"Arizona,Utah,West Virginia",Mollusks,TRUE
Valvata sincera,mossy valvata,4,"Connecticut,Massachusetts,New York,Vermont",3,"Connecticut,Massachusetts,Vermont",Mollusks,TRUE
Valvata tricarinata,threeridge valvata,2,"Connecticut,Virginia",3,"Connecticut,Pennsylvania,Virginia",Mollusks,TRUE
Vandenboschia boschiana,Appalachian bristle fern,0,NA,3,"South Carolina,Tennessee,West Virginia",Plants,TRUE
Ventridens arcellus,golden dome,1,Virginia,3,"North Carolina,Virginia,West Virginia",Mollusks,TRUE
